## k = 0.791
Start
Loading from ./SCRATCH/checkpoints/cifar_conv4_pool_relu_right2-09m-23d-04h-15m-14s.pkl
Loading Data
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_1
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_2
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_3
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_4
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_5
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/test_batch
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_1
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_2
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_3
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_4
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_5
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/test_batch
Trainig Model
./FINETUNE
Saving model checkpoint to: ./FINETUNE/checkpoints/cifar10_conv4_pool_relu_larger_finetune-09m-23d-16h-20m-16s.pkl
*0, train error: 0.93750, time: 1.54
400, train error: 0.72578, time: 1.60
&401, test error: 0.67969, time: 0.79
410, train error: 0.73359, time: 1.60
420, train error: 0.73516, time: 1.66
430, train error: 0.72578, time: 1.66
440, train error: 0.74219, time: 1.58
*450, train error: 0.73406, time: 1.61
450, train error: 0.73359, time: 1.58
&451, test error: 0.75781, time: 0.53
460, train error: 0.72109, time: 1.59
470, train error: 0.69297, time: 1.60
480, train error: 0.71797, time: 1.58
490, train error: 0.74453, time: 1.58
*500, train error: 0.71344, time: 1.59
500, train error: 0.69063, time: 1.59
&501, test error: 0.69531, time: 0.76
510, train error: 0.70469, time: 1.59
520, train error: 0.70078, time: 1.59
530, train error: 0.72422, time: 1.58
540, train error: 0.71094, time: 1.59
*550, train error: 0.70688, time: 1.59
550, train error: 0.69375, time: 1.59
&551, test error: 0.69531, time: 0.69
560, train error: 0.72656, time: 1.60
570, train error: 0.67969, time: 1.55
580, train error: 0.68281, time: 1.58
590, train error: 0.71875, time: 1.58
*600, train error: 0.70047, time: 1.58
600, train error: 0.69453, time: 1.59
&601, test error: 0.71875, time: 0.76
610, train error: 0.69375, time: 1.59
620, train error: 0.68594, time: 1.59
630, train error: 0.70469, time: 1.58
640, train error: 0.66328, time: 1.59
*650, train error: 0.68266, time: 1.59
650, train error: 0.66563, time: 1.58
&651, test error: 0.69531, time: 0.49
660, train error: 0.70078, time: 1.59
670, train error: 0.69609, time: 1.59
680, train error: 0.68828, time: 1.57
690, train error: 0.70234, time: 1.59
*700, train error: 0.69531, time: 1.59
700, train error: 0.68906, time: 1.59
&701, test error: 0.65625, time: 0.71
710, train error: 0.70469, time: 1.58
720, train error: 0.69766, time: 1.58
730, train error: 0.69219, time: 1.58
740, train error: 0.66875, time: 1.59
*750, train error: 0.69297, time: 1.58
750, train error: 0.70156, time: 1.59
&751, test error: 0.71875, time: 0.48
760, train error: 0.67812, time: 1.59
770, train error: 0.67969, time: 1.58
780, train error: 0.71406, time: 1.61
790, train error: 0.68203, time: 1.56
*800, train error: 0.68625, time: 1.58
800, train error: 0.67734, time: 1.58
&801, test error: 0.64062, time: 0.79
810, train error: 0.69609, time: 1.58
820, train error: 0.68594, time: 1.57
830, train error: 0.68281, time: 1.59
840, train error: 0.68594, time: 1.57
*850, train error: 0.68719, time: 1.58
850, train error: 0.68516, time: 1.59
&851, test error: 0.70312, time: 0.58
860, train error: 0.68359, time: 1.60
870, train error: 0.69375, time: 1.57
880, train error: 0.71562, time: 1.57
890, train error: 0.67266, time: 1.61
*900, train error: 0.69125, time: 1.58
900, train error: 0.69063, time: 1.56
&901, test error: 0.69531, time: 0.48
910, train error: 0.65938, time: 1.62
920, train error: 0.66641, time: 1.59
930, train error: 0.66563, time: 1.59
940, train error: 0.67891, time: 1.58
*950, train error: 0.66797, time: 1.59
950, train error: 0.66953, time: 1.60
&951, test error: 0.67969, time: 0.78
960, train error: 0.66953, time: 1.56
970, train error: 0.65391, time: 1.61
980, train error: 0.66797, time: 1.59
990, train error: 0.68281, time: 1.58
*1000, train error: 0.66828, time: 1.58
1000, train error: 0.66719, time: 1.58
&1001, test error: 0.65625, time: 0.48
1010, train error: 0.64844, time: 1.58
1020, train error: 0.65859, time: 1.58
1030, train error: 0.65312, time: 1.58
1040, train error: 0.65391, time: 1.59
*1050, train error: 0.66312, time: 1.58
1050, train error: 0.70156, time: 1.59
&1051, test error: 0.67188, time: 0.52
1060, train error: 0.64844, time: 1.59
1070, train error: 0.66016, time: 1.59
1080, train error: 0.66953, time: 1.61
1090, train error: 0.65312, time: 1.57
*1100, train error: 0.65687, time: 1.59
1100, train error: 0.65312, time: 1.58
&1101, test error: 0.62500, time: 0.57
1110, train error: 0.66953, time: 1.60
1120, train error: 0.63750, time: 1.58
1130, train error: 0.65000, time: 1.60
1140, train error: 0.65859, time: 1.59
*1150, train error: 0.65172, time: 1.59
1150, train error: 0.64297, time: 1.59
&1151, test error: 0.65625, time: 0.67
1160, train error: 0.65625, time: 1.65
1170, train error: 0.63750, time: 1.61
1180, train error: 0.64219, time: 1.59
1190, train error: 0.66406, time: 1.58
*1200, train error: 0.65078, time: 1.60
1200, train error: 0.65391, time: 1.58
&1201, test error: 0.70312, time: 0.77
1210, train error: 0.66953, time: 1.58
1220, train error: 0.62813, time: 1.57
1230, train error: 0.65547, time: 1.55
1240, train error: 0.64453, time: 1.59
*1250, train error: 0.65047, time: 1.57
1250, train error: 0.65469, time: 1.58
&1251, test error: 0.64062, time: 0.67
1260, train error: 0.65391, time: 1.60
1270, train error: 0.63672, time: 1.57
1280, train error: 0.65234, time: 1.58
1290, train error: 0.64453, time: 1.59
*1300, train error: 0.64859, time: 1.58
1300, train error: 0.65547, time: 1.58
&1301, test error: 0.62500, time: 0.77
1310, train error: 0.65078, time: 1.61
1320, train error: 0.64453, time: 1.58
1330, train error: 0.65469, time: 1.59
1340, train error: 0.63750, time: 1.58
*1350, train error: 0.64891, time: 1.59
1350, train error: 0.65703, time: 1.59
&1351, test error: 0.67969, time: 0.48
1360, train error: 0.64062, time: 1.58
1370, train error: 0.64297, time: 1.60
1380, train error: 0.65547, time: 1.58
1390, train error: 0.65078, time: 1.58
*1400, train error: 0.64891, time: 1.59
1400, train error: 0.65469, time: 1.59
&1401, test error: 0.64844, time: 0.74
1410, train error: 0.66094, time: 1.59
1420, train error: 0.66094, time: 1.58
1430, train error: 0.63984, time: 1.58
1440, train error: 0.66719, time: 1.59
*1450, train error: 0.65063, time: 1.59
1450, train error: 0.62422, time: 1.58
&1451, test error: 0.62500, time: 0.49
1460, train error: 0.63672, time: 1.59
1470, train error: 0.63203, time: 1.58
1480, train error: 0.64219, time: 1.57
1490, train error: 0.64531, time: 1.61
*1500, train error: 0.64000, time: 1.58
1500, train error: 0.64375, time: 1.56
&1501, test error: 0.68750, time: 0.74
1510, train error: 0.63438, time: 1.59
1520, train error: 0.65312, time: 1.58
1530, train error: 0.64375, time: 1.58
1540, train error: 0.67578, time: 1.59
*1550, train error: 0.64984, time: 1.58
1550, train error: 0.64219, time: 1.59
&1551, test error: 0.62500, time: 0.53
1560, train error: 0.62969, time: 1.57
1570, train error: 0.61641, time: 1.59
1580, train error: 0.63281, time: 1.60
1590, train error: 0.61719, time: 1.60
*1600, train error: 0.62562, time: 1.59
1600, train error: 0.63203, time: 1.58
&1601, test error: 0.62500, time: 0.52
1610, train error: 0.62891, time: 1.59
1620, train error: 0.65391, time: 1.58
1630, train error: 0.64062, time: 1.58
1640, train error: 0.64609, time: 1.59
*1650, train error: 0.64047, time: 1.59
1650, train error: 0.63281, time: 1.58
&1651, test error: 0.61719, time: 0.79
1660, train error: 0.60938, time: 1.58
1670, train error: 0.63672, time: 1.57
1680, train error: 0.62344, time: 1.61
1690, train error: 0.62969, time: 1.57
*1700, train error: 0.63047, time: 1.59
1700, train error: 0.65312, time: 1.60
&1701, test error: 0.53906, time: 0.46
1710, train error: 0.64375, time: 1.58
1720, train error: 0.61328, time: 1.58
1730, train error: 0.65234, time: 1.60
1740, train error: 0.66328, time: 1.58
*1750, train error: 0.63750, time: 1.59
1750, train error: 0.61484, time: 1.59
&1751, test error: 0.65625, time: 0.71
1760, train error: 0.64297, time: 1.59
1770, train error: 0.62031, time: 1.59
1780, train error: 0.62813, time: 1.59
1790, train error: 0.60234, time: 1.59
*1800, train error: 0.62594, time: 1.59
1800, train error: 0.63594, time: 1.60
&1801, test error: 0.67188, time: 0.67
1810, train error: 0.63125, time: 1.59
1820, train error: 0.63906, time: 1.59
1830, train error: 0.60859, time: 1.58
1840, train error: 0.63281, time: 1.58
*1850, train error: 0.63406, time: 1.58
1850, train error: 0.65859, time: 1.58
&1851, test error: 0.73438, time: 0.60
1860, train error: 0.63047, time: 1.61
1870, train error: 0.63359, time: 1.66
1880, train error: 0.62969, time: 1.66
1890, train error: 0.62500, time: 1.53
*1900, train error: 0.62938, time: 1.61
1900, train error: 0.62813, time: 1.61
&1901, test error: 0.64062, time: 0.71
1910, train error: 0.60781, time: 1.57
1920, train error: 0.61328, time: 1.58
1930, train error: 0.61484, time: 1.58
1940, train error: 0.61484, time: 1.55
*1950, train error: 0.61938, time: 1.57
1950, train error: 0.64609, time: 1.58
&1951, test error: 0.57812, time: 0.67
1960, train error: 0.62500, time: 1.59
1970, train error: 0.64922, time: 1.58
1980, train error: 0.62187, time: 1.58
1990, train error: 0.61719, time: 1.57
./FINETUNE
Saving model checkpoint to: ./FINETUNE/checkpoints/cifar10_conv4_pool_relu_larger_finetune-09m-23d-17h-13m-43s.pkl
*2000, train error: 0.63281, time: 1.58
2000, train error: 0.65078, time: 1.57
&2001, test error: 0.62500, time: 0.55
2010, train error: 0.65156, time: 1.60
2020, train error: 0.60781, time: 1.58
2030, train error: 0.61719, time: 1.60
2040, train error: 0.61641, time: 1.60
*2050, train error: 0.62141, time: 1.59
2050, train error: 0.61406, time: 1.54
&2051, test error: 0.57031, time: 0.75
2060, train error: 0.60234, time: 1.59
2070, train error: 0.60859, time: 1.58
2080, train error: 0.63281, time: 1.58
2090, train error: 0.61484, time: 1.59
*2100, train error: 0.61641, time: 1.59
2100, train error: 0.62344, time: 1.58
&2101, test error: 0.68750, time: 0.47
2110, train error: 0.62500, time: 1.59
2120, train error: 0.64297, time: 1.59
2130, train error: 0.64219, time: 1.61
2140, train error: 0.61875, time: 1.59
*2150, train error: 0.63703, time: 1.59
2150, train error: 0.65625, time: 1.58
&2151, test error: 0.67188, time: 0.54
2160, train error: 0.65625, time: 1.58
2170, train error: 0.60391, time: 1.59
